,SNname,lcvquality,image subtraction needed,Type,PAIRITEL,P13 UV data,RA,DEC,radeg,decdeg,hostgal,separation ,inclination from leida,,,v_z,z,z_ref,distanced11,distance Mpc,MaxVdate,MaxVJD,"CfA photometric quality (1best, 3 worst)",CfA VJD bootstrap,CfA VJD bootstrap error,dVJD CfA bootstrap,CfA BJD bootstrap,CfA BJD error,CfA RJD bootstrap,CfA RJD error,CfA IJD bootstrap,CfA IJD error,MaxVMag,max_ref,D11Vmaxdate,D11Vmaxdateerr,D11Vmax,D11Vmaxerr,D11Rmaxdate,D11Rmaxdateerr,D11Rmax,D11Rmaxerr,cfaVmax,cfaVmaxerr,cfaUmax,cfaUmaxerr,cfaBmax,cfaBmaxerr,cfaRmax,cfaRmaxerr,cfaImax,cfaImaxerr,cfaJmax,cfaJmaxerr,cfaHmax,cfaHmaxerr,cfaKmax,cfaKmaxerr,CfA dm15,CfA dm15 linear,earliestV,inclination,inclination error,inclination/E(B-V) ref,axis ratio sdss,axis ratio,inclination from axes sdss,inclination from axes,E(B-V),E(B-V) SF2011,DFS E(B-V),E(b-v)host,E(b-v)hosterr,my E(B-V)host,v1 Fe II 5018 date,v1 Fe II 5018 ,v1 Fe II 5018 error,v2 FeII 5018 date,v2 Fe II 5018,v2 Fe II 5018 error,v1 Fe II 5169 date,v1 Fe II 5169 ,v1 Fe II 5169 error,v2 Fe II 5169 date,v2 Fe II 5169,v2 Fe II 5169 error,Fe II 5169 new,Fe II 5169 at maximum (linear interpolation),Fe II 5018 at maximum (linear interpolation),Dm15 (with Lyman BC correction),comment
KEPLER,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,,,,,,,,,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,--,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,################,###############,###############,################,###############,###############,################,################,################,################,,################,################,,###############
ADDITIONAL,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,,,,,,,,,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,################,###############,###############,################,###############,###############,################,###############,################,################,,################,################,,###############
*nospec,###############,,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,,,,,,,,,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,--,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,################,###############,###############,################,###############,###############,################,###############,###############,################,,################,################,,###############
,sn1997X,0,?,Ib,0,0,12:48:14,-3:19:58,192.058333333,-3.33277777778,NGC4691,-,38.8,2.8,2.3,1072,0.00358,T09/M01,--,15.4192119763,<00000000,<00000000,-99,<0000000,--,#VALUE!,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,99.9,NA,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,--,--,--,--,--,0.821428571428571,--,38.5974331554088,--,0.0237,0.0445,--,--,0.175470492688125,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,;
,sn1998dt,0,?,Ib,0,0,2:28:35,-10:32:59,37.1458333333,-10.5497222222,NGC945,-,--,2.633,1.264,4580,0.015277,SN,--,66.2479770731,19980912,2451068.5,-99,<0000000,--,#VALUE!,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,99.9,M01,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,--,--,--,--,--,0.48006076718572,--,66.5520109275852,--,0.0219,0.0255,--,--,0.30255675551866,-,-,-,-,-,-,0,-11503.6,1914.4,1,-10843.1,1892.2,,-,-,,;but max is in Rband!!! -our spectra
,sn1998fa,0,?,IIb,0,0,11:40:55,+11:28:45.7,175.229166667,11.4793611111,NGC945,-,--,2.633,1.264,7460,0.024883,M01,--,108.659198155,19990102,2451180.5,-99,<0000000,--,#VALUE!,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,99.9,M01,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,--,--,--,--,--,0.48006076718572,--,66.5520109275852,--,0.0382,0.0445,--,--,0.30255675551866,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,(rband) ;-- no longer in Matheson
,sn2000H,0,?,IIb,0,0,6:51:07,+12:55:18.5,102.779166667,12.9218055556,IC454,-,--,1.593,1.02,3894,0.012989,B02,--,56.2349231195,20000211,2451585.5,-99,<0000000,--,#VALUE!,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,99.9,B02,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,--,--,--,--,--,0.64030131826742,--,54.6264020596593,--,0.1964,0.2284,--,--,0.248340910251561,3,-10942.9,1976.9,-,-,-,-1,-10924.9,234.4,1,-10414.9,2270.2,,-10669.9,-,,;our spec
,sn2001ai,0,?,Ib,0,0,13:41:39,+55:40:05.1,205.4125,55.6680833333,NGC5278,-,38.9,0.88,0.686,7753,0.025863,SN,--,113.019607963,<00000000,<00000000,-99,<0000000,--,#VALUE!,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,99.9,NA,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,--,--,--,--,--,0.779545454545455,--,42.7379350575882,--,0.0081,0.0094,--,--,0.194293918220756,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,;nice host gal MMT spec NED's z 7574+/-70 
*@,sn2001ej,3,?,Ib,0,0,7:23:43,+33:26:38.0,110.929166667,33.4438888889,UGC3829,-,--,0.88,0.774,4135,0.013793,SN,--,59.7495945143,<20011006.4,<2452188.9,3,<2452188.93,--,#VALUE!,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,<17.2,CfA,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.732,-0.428,2452188.938,--,--,--,--,0.879545454545454,--,32.054385418143,--,0.046,0.0535,--,--,0.145724685356399,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,;NED: 4066.km/s
*@,sn2001gd,3,?,IIb,0,0,13:13:23,+36:38:17.7,198.345833333,36.63825,NGC5033,-,64.6,3.783,1.702,1024,0.00341,SN,--,14.6871289367,<20011223.,<2452267.0,3,<2452267.03,--,#VALUE!,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,<17.8,CfA,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2452267.031,--,--,--,0.558,0.449907480835316,60.8834846781446,68.7141587490257,--,0.0098,0.0115,--,--,0.312386247080058,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,";851+/- 32   from UZC, get upper lim on JD from IAUC?"
*=,sn2002ap,3,?,Ic-bl,0,0,1:36:23,+15:45:13.2,24.0958333333,15.7536666667,M74,-,--,6.777,5.828,659,0.002198,H99,8.2,9.47334946077,20020207.8,2452313.4,3,<2452320.61,--,#VALUE!,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,12.39,F03,52313.92,0.16,12.36,0.006,52315.24,0.018,12.267,0.003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,--,25,"(+3,-3)",D11/D11,--,0.859967537258374,--,34.3917211123023,0.071,0.062,0.0721,0,--,0.156350610769115,5.1,-10666,1805.7,6.1,-10950.6,1976.4,4.1,-10805.55,1847.7,5.1,-10228.12,,-12090.271,,-,,;JDburst = :20020128.9 (2452303.4) from Mazzali02
,sn2002ji,0,?,Ib,0,0,11:22:53,+16:35:10.0,170.720833333,16.5861111111,NGC3655,-,47.1,1.343,0.887,1624,0.0054167,SN,--,23.340904244,<00000000,<00000000,-99,<0000000,--,#VALUE!,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,99.9,NA,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,--,--,--,--,--,0.660461653015637,--,53.028099660846,--,0.0217,0.0253,--,--,0.241074755835148,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,, ;from UZC: 1490+/-39
*=,sn2003jd,1,?,Ic-bl,0,0,21:03:38,-4:53:45,315.908333333,-4.89583333333,MCG-01-59-21,-,--,0.59,0.484,5635,0.018796,H93,77,81.7150052238,20031031.6,2452944.1,1,2452943.31,0.55,0.790000000037253,52942.5,0.39,<0000000,<0000000,<0000000,<0000000,15.49,V08,52943.5,1,15.94,0.18,52944.2,1,15.82,0.15,15.93,0.02,-,-,-,-,-,-,15.61,0.03,-,-,-,-,-,-,-,-,--,42,"(+8,-14)",D11/D11,0.704,0.820338983050848,49.4573096120792,38.7101472343366,0.044,0.0784,0.044,0.1,--,0.175982910052324,-,-,-,-,-,-,18.4,-10820.6,2191.2,19.4,-11503.6,,-16722.197,,-,, ;CfA spec in valenti08
*@,sn2004ao,2,?,Ib,0,0,17:28:09,+07:24:55.5,262.0375,7.41541666667,UGC10862,24.62,53.4,1.61,0.419,1691,0.005641,NED,--,24.3098373777,<20040307,<2453079.0,2,<2453080.00,--,#VALUE!,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,<15.7,CfA,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.338,-0.443,2453080.504,--,--,--,--,0.260248447204969,--,83.2171737685157,--,0.0893,0.1038,--,--,0.378319418871213,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,;SNWEB: 2453071.5 and <14.9  ;NED_z and SN_z similar
