#jd epoch U dU B dB V dV R dR I dI z dz  
2454396.52	 nan	 nan	16.073	0.023	15.235	0.024	14.772	0.021	14.133	0.022 nan nan 
2454398.48	16.591	0.037	16.142	0.029	15.267	0.022	14.853	0.024	14.168	0.025 nan nan 
2454402.58	16.690	0.043	16.168	0.031	15.319	0.025	14.906	0.024	14.216	0.023 nan nan 
2454403.58	 nan	 nan	16.175	0.029	15.352	0.021	14.905	0.020	14.238	0.020 nan nan 
2454406.70	16.662	0.042	16.209	0.026	15.379	0.024	14.973	0.025	14.241	0.021 nan nan 
2454410.70	16.740	0.036	16.295	0.025	15.458	0.021	15.046	0.023	14.351	0.023 nan nan 
2454417.58	 nan	 nan	16.295	0.031	15.600	0.022	15.133	0.023	14.518	0.025 nan nan 
2454418.56	16.811	0.051	16.378	0.041	15.579	0.030	15.177	0.027	14.480	0.032 nan nan 
2454425.63	 nan	 nan	16.472	0.020	nan 	nan 	15.215	0.020	nan 	nan  nan nan 
2454432.44	17.027	0.045	16.581	0.037	15.824	0.022	15.388	0.026	14.724	0.028 nan nan 
2454439.51	 nan	 nan	16.607	0.040	15.923	0.031	15.427	0.025	14.825	0.023 nan nan 
2454440.45	 nan	nan 	16.665	0.035	15.938	0.025	15.442	0.023	14.922	0.024 nan nan 
2454440.53	17.094	0.040	16.657	0.032	15.935	0.023	15.506	0.021	14.859	0.023 nan nan 
2454444.51	 nan	 nan	16.745	0.028	16.039	0.026	15.519	0.021	15.000	0.021 nan nan 
2454444.54	17.203	0.060	16.761	0.032	16.028	0.022	15.570	0.022	15.004	0.025 nan nan 
2454450.62	17.188	0.070	16.830	0.040	16.122	0.030	15.626	0.027	15.058	0.028 nan nan 
2454460.49	 nan	 nan	16.970	0.023	16.326	0.023	15.709	0.026	15.206	0.026 nan nan 
2454463.31	 nan	 nan	17.030	0.029	nan 	nan 	15.781	0.026	15.278	0.026 nan nan 
2454463.39	17.327	0.060	17.022	0.047	16.346	0.025	15.781	0.027	15.226	0.024 nan nan 
2454468.50	 nan	 nan	17.077	0.031	16.476	0.024	15.803	0.021	15.343	0.021 nan nan 
2454472.40	 nan	 nan	17.180	0.045	16.495	0.031	15.935	0.025	15.442	0.025 nan nan 
2454474.51	 nan	 nan	17.238	0.037	16.568	0.024	15.922	0.022	15.419	0.020 nan nan 
2454479.40	17.808	0.055	17.239	0.040	16.725	0.037	15.959	0.030	15.538	0.027 nan nan 
2454492.35	17.871	0.131	17.392	0.046	16.853	0.028	16.150	0.025	15.810	0.026 nan nan 
2454494.36	 nan	 nan	17.477	0.047	16.967	0.024	16.161	0.020	15.829	0.020 nan nan 
2454507.45	 nan	 nan	17.671	0.040	nan 	nan 	16.371	0.027	16.168	0.025 nan nan 
2454707.97	 nan	 nan	nan 	nan 	20.300	0.200	19.770	0.200	19.620	0.200 nan nan 
2454711.62	 nan	 nan	nan 	nan 	20.400	0.500	19.800	0.500	19.540	0.400 nan nan 
2454740.49	nan 	 nan	nan    nan	20.696	0.500	20.205	0.400	19.861	0.600 nan nan 
