#jd  epoch U dU B dB V dV R dR I dI z dz 
2453017.74 nan nan 19.73 .17 18.86 .15 18.60 .13 18.07 .21 nan nan 
2453018.74 nan nan 19.62 .22 18.92 .17 18.54 .17 18.11 .23 nan nan 
2453020.19 nan nan nan nan nan nan 18.70 .10 nan nan nan nan 
2453020.74 nan nan 19.60 .24 18.97 .12 18.60 .16 18.08 .26 nan nan 
2453022.19 nan nan nan nan 18.96 .09 18.70 .11 18.31 .16 nan nan 
2453022.74 nan nan 19.72 .21 18.80 .11 18.66 .16 18.30 .17 nan nan 
2453024.74 nan nan 19.3 nan 18.93 .27 18.81 .17 18.1 nan nan nan 
2453027.18 nan nan nan nan nan nan 18.4 nan 18.5 nan nan nan 
2453031.18 nan nan nan nan nan nan 18.2 nan nan nan nan nan 
2453259.10 nan nan 23.00 .21 nan nan 21.92 .31 nan nan nan nan 
2453259.10 nan nan nan nan 23.38 .40 nan nan nan nan nan nan 
2453324.02 nan nan 23.90 .31 24.38 .35 23.61 .50 23.0 nan nan nan 
2453730.1 nan nan 21.6 nan 21.3 nan 20.6 nan 21.2 nan nan nan 
