#jd epoch u du B dB V dV g dg r dr i di z dz 
2454571.37 18.078 0.044 16.133 0.017 14.741 0.011 nan nan 14.401 0.012 13.972 0.010 nan nan 
2454572.37 18.090 0.089 16.162 0.018 14.796 0.012 nan nan 14.423 0.014 13.992 0.039 nan nan 
2454573.38 18.095 0.032 16.177 0.014 14.832 0.011 nan nan 14.436 0.013 14.012 0.015 nan nan 
2454575.36 18.099 0.062 16.231 0.021 14.867 0.010 nan nan 14.482 0.011 14.065 0.010 nan nan 
2454576.37 18.106 0.041 16.255 0.015 14.903 0.011 nan nan 14.528 0.013 14.096 0.011 nan nan 
2454577.40 18.120 0.043 16.288 0.016 14.930 0.010 nan nan 14.571 0.011 14.124 0.010 nan nan 
2454578.37 18.126 0.043 16.293 0.019 14.951 0.011 nan nan 14.586 0.016 14.147 0.013 nan nan 
2454579.38 18.124 0.038 16.293 0.017 14.961 0.011 nan nan 14.607 0.011 14.160 0.016 nan nan 
2454581.50 18.151 0.070 nan nan nan nan nan nan nan nan nan nan nan nan 
2454586.68 nan nan 16.425 0.038 15.114 0.015 nan nan 14.800 0.014 nan nan nan nan 
2454592.82 nan nan nan nan nan nan 15.888 0.037 14.896 0.038 14.548 0.049 14.070 0.056 
2454594.72 nan nan nan nan nan nan 15.910 0.052 14.958 0.045 14.590 0.056 14.094 0.058 
2454596.37 nan nan 16.554 0.020 15.324 0.010 nan nan 15.033 0.012 14.583 0.010 nan nan 
2454596.73 nan nan nan nan nan nan 15.920 0.034 15.041 0.102 14.627 0.053 14.137 0.041 
2454599.38 18.149 0.031 16.571 0.017 15.376 0.010 nan nan 15.100 0.011 14.611 0.012 nan nan 
